mileage,make,fuel,gear,offerType,price,hp,year
146148,43,2,1,4,9495,136.0,2016
106300,43,2,1,4,9499,160.0,2016
179200,57,2,1,4,9499,120.0,2016
63000,43,7,1,4,9500,87.0,2016
154494,45,2,1,4,9500,120.0,2016
72500,53,7,1,4,9650,136.0,2016
93300,43,2,1,4,9680,110.0,2016
96999,43,2,1,4,9690,136.0,2016
39990,31,7,1,4,9690,101.0,2016
66106,5,7,0,4,20990,150.0,2017
68000,31,2,0,4,27928,200.0,2017
67000,39,2,0,4,34900,170.0,2017
74000,60,7,1,4,5555,71.0,2017
31500,49,7,1,4,5780,60.0,2017
62490,49,7,1,4,6390,60.0,2017
100870,57,7,1,4,6445,60.0,2017
35450,50,7,1,4,6445,60.0,2017
65635,57,7,1,4,6490,60.0,2017
83000,55,7,1,4,6500,69.0,2017
35000,18,7,1,4,6700,90.0,2017
35093,57,7,1,4,6750,60.0,2017
66000,22,7,1,4,6799,69.0,2017
61000,25,7,1,4,6900,67.0,2017
118759,23,2,1,4,6990,95.0,2017
31500,60,7,1,4,6999,71.0,2017
77403,23,2,1,4,7090,75.0,2017
73500,5,2,0,4,31980,163.0,2018
59990,5,2,0,4,32940,218.0,2018
79300,39,2,0,4,34775,204.0,2018
46300,5,2,0,4,34890,190.0,2018
54496,5,2,0,4,35480,231.0,2018
51878,57,2,0,4,35490,239.0,2018
85200,57,2,0,4,37700,224.0,2018
13710,23,7,0,4,26480,150.0,2019
27949,5,2,0,4,26880,150.0,2019
22500,23,7,0,0,26880,150.0,2019
57501,6,2,0,4,26970,190.0,2019
34450,57,2,0,4,26980,150.0,2019
35950,57,2,0,4,27440,150.0,2019
12178,5,7,1,4,27440,150.0,2019
41365,57,2,0,4,27490,190.0,2019
31900,39,2,0,4,27600,163.0,2019
45700,5,2,0,4,27980,150.0,2019
9243,49,7,0,4,28250,150.0,2019
8650,23,2,0,1,28980,179.0,2019
17615,50,7,0,0,28990,150.0,2019
4016,39,7,0,4,29111,211.0,2019
9290,23,2,0,1,29980,179.0,2019
8650,23,2,0,1,29980,179.0,2019
22900,49,7,0,4,29990,150.0,2019
2955,5,2,0,4,29994,150.0,2019
1060,23,2,1,4,30452,131.0,2019
27500,6,2,0,4,30675,190.0,2019
100,22,7,1,3,10600,69.0,2021
15,22,5,1,3,10680,69.0,2021
20,55,7,1,3,10823,72.0,2021
15,22,5,1,3,10980,69.0,2021
15,22,5,1,3,10980,69.0,2021
10,55,7,1,3,10997,72.0,2021
9,55,7,1,3,11490,72.0,2021
9,55,7,1,3,11490,72.0,2021
9,55,7,1,3,11490,72.0,2021
100,25,7,1,3,11499,67.0,2021
10,55,7,1,3,11790,72.0,2021
10,31,7,1,3,11950,84.0,2021
10,55,7,1,3,11990,72.0,2021
10,55,7,1,3,11990,72.0,2021
10,55,7,1,3,11990,72.0,2021
10,55,7,1,3,11990,72.0,2021
10,55,7,1,3,11990,72.0,2021
10,55,7,1,3,11990,72.0,2021
10,55,7,1,3,11990,72.0,2021
10,55,7,1,3,11990,72.0,2021
132500,57,7,0,4,7800,122.0,2011
132500,57,7,0,4,7800,122.0,2011
69019,45,7,1,4,7850,156.0,2011
123600,23,7,1,4,7885,150.0,2011
95963,43,7,1,4,7900,120.0,2011
71908,42,7,1,4,7900,117.0,2011
93510,31,7,1,4,7900,90.0,2011
131322,57,7,1,4,7900,122.0,2011
228000,57,2,1,4,7900,170.0,2011
61999,24,7,1,4,7949,99.0,2011
87216,57,7,1,4,7970,122.0,2011
120600,23,7,1,4,7970,150.0,2011
119850,57,7,0,4,7990,86.0,2011
154500,57,7,1,4,7990,160.0,2011
92800,48,7,1,4,7990,131.0,2011
118210,57,7,1,4,7990,160.0,2011
86000,43,7,1,4,7998,116.0,2011
24170,55,7,0,4,7999,132.0,2011
188758,57,2,1,4,7999,140.0,2011
107001,57,7,1,4,7999,122.0,2011
81179,23,7,1,4,7900,105.0,2012
98669,55,5,0,4,7900,75.0,2012
86747,50,7,1,4,7900,86.0,2012
147500,50,2,1,4,7900,140.0,2012
140000,55,2,1,4,7950,124.0,2012
89400,57,7,1,4,7980,122.0,2012
100000,50,7,1,4,7980,122.0,2012
14300,43,7,0,4,7990,101.0,2012
102000,43,7,1,4,7990,179.0,2012
93850,48,2,1,4,7990,110.0,2012
98600,49,7,0,4,7990,160.0,2012
123000,23,7,1,4,7990,160.0,2012
70600,55,7,0,4,7990,99.0,2012
35300,31,7,1,4,7990,99.0,2012
128000,57,7,1,4,7990,122.0,2012
91000,57,7,1,4,7990,105.0,2012
100000,25,7,1,4,7999,135.0,2012
105531,55,7,0,4,7999,99.0,2012
110405,57,7,1,4,7999,122.0,2012
82822,55,5,0,4,8500,75.0,2013
35000,50,7,1,4,8500,105.0,2013
148000,13,2,0,4,8500,150.0,2013
44700,43,7,1,4,8500,69.0,2013
77820,38,7,1,4,8550,105.0,2013
31000,23,7,1,4,8679,125.0,2013
46000,57,7,1,4,8699,69.0,2013
50000,23,7,1,4,8699,101.0,2013
75800,45,7,1,4,8700,82.0,2013
122450,53,2,1,4,8700,135.0,2013
54689,43,7,1,4,8740,140.0,2013
98000,24,7,1,4,8790,99.0,2013
55135,24,7,1,4,8800,99.0,2013
53998,25,7,1,4,8880,86.0,2013
76796,45,7,1,4,8885,120.0,2013
84000,50,2,1,4,8888,110.0,2013
48795,50,7,0,4,8899,105.0,2013
85320,43,7,1,4,8900,140.0,2013
118070,55,5,0,4,8900,75.0,2013
59100,31,7,1,4,8900,90.0,2013
85183,43,7,1,4,8898,140.0,2014
53795,57,7,1,4,8900,60.0,2014
74450,13,7,1,4,8900,156.0,2014
167000,57,2,1,4,8950,110.0,2014
182150,57,7,1,4,8980,140.0,2014
68067,45,7,1,4,8985,125.0,2014
49252,23,7,1,4,8990,125.0,2014
124800,43,7,0,4,8990,140.0,2014
91784,23,7,1,4,8990,101.0,2014
82500,48,2,1,4,8990,90.0,2014
98000,25,7,1,4,8990,135.0,2014
34100,31,7,0,4,8990,86.0,2014
120500,24,0,1,4,8990,141.0,2014
27241,48,2,1,4,8990,110.0,2014
90173,23,7,1,4,8990,101.0,2014
54210,48,7,0,4,8990,120.0,2014
123559,45,2,0,4,8995,92.0,2014
81430,13,7,0,4,8999,82.0,2014
73000,49,7,1,4,9000,110.0,2014
56700,11,7,1,4,9000,140.0,2014
68220,50,7,1,4,8900,75.0,2015
62665,43,7,0,4,8950,90.0,2015
172000,57,2,1,4,8990,120.0,2015
53000,50,7,1,4,8990,86.0,2015
175488,23,2,1,4,8990,120.0,2015
102690,18,7,1,4,8990,125.0,2015
49249,48,7,1,4,8990,132.0,2015
30100,31,7,1,4,8990,86.0,2015
69120,31,2,1,4,8990,90.0,2015
53000,50,0,1,4,8990,110.0,2015
98540,22,2,1,4,9200,128.0,2015
87200,48,7,1,4,9250,132.0,2015
20000,60,7,0,0,9299,71.0,2015
57596,42,7,1,4,9440,116.0,2015
51833,23,2,1,4,9440,95.0,2015
43693,45,7,1,4,9450,110.0,2015
109750,18,7,1,4,9450,105.0,2015
88900,57,7,1,4,9450,86.0,2015
33000,48,3,0,4,8495,58.0,2016
36300,48,7,1,4,8499,90.0,2016
36300,48,7,1,4,8499,90.0,2016
36210,48,7,1,4,8499,73.0,2016
101850,43,2,1,4,8690,95.0,2016
13832,13,7,1,4,8690,82.0,2016
49950,49,7,1,4,8690,90.0,2016
98700,43,2,1,4,8770,110.0,2016
190543,39,2,1,4,8799,90.0,2016
80000,49,2,1,4,8800,110.0,2016
109859,23,7,1,4,8840,125.0,2016
82000,50,7,1,4,8850,110.0,2016
68300,48,2,1,4,8850,110.0,2016
57644,50,7,1,4,8850,90.0,2016
110412,43,2,1,4,8880,95.0,2016
34955,42,7,1,4,8880,80.0,2016
149889,43,2,0,4,8890,136.0,2016
138965,57,2,1,4,8890,110.0,2016
69934,50,2,1,4,8890,90.0,2016
113000,57,2,1,4,8900,110.0,2016
3070,25,7,1,4,7950,67.0,2017
60300,45,7,1,4,7950,82.0,2017
79883,23,7,1,4,7985,101.0,2017
36955,42,7,1,4,7990,80.0,2017
24162,25,7,1,4,7990,67.0,2017
78588,50,7,1,4,7990,60.0,2017
63200,48,7,1,4,7990,90.0,2017
68753,42,7,1,4,7990,80.0,2017
29731,55,7,1,4,7990,69.0,2017
29712,48,7,1,4,7990,69.0,2017
45401,50,7,1,4,7990,75.0,2017
42341,23,7,1,4,7990,69.0,2017
68360,55,7,1,4,7990,69.0,2017
28864,48,7,1,4,7995,73.0,2017
52753,32,7,1,4,8000,106.0,2017
42000,41,7,1,4,8000,80.0,2017
46073,23,7,1,4,8090,71.0,2017
16000,55,7,1,4,8100,69.0,2017
27547,22,7,1,4,8190,69.0,2017
28323,22,7,1,4,8190,69.0,2017
6761,57,7,1,4,19490,125.0,2018
44626,50,7,1,4,19940,179.0,2018
35000,24,7,1,4,19950,182.0,2018
23100,41,7,1,4,21490,163.0,2018
29658,43,2,0,4,21680,120.0,2018
86886,57,2,0,4,24869,239.0,2018
47000,29,7,0,4,24950,200.0,2018
37076,50,7,0,4,27890,245.0,2018
51136,57,2,0,4,28780,204.0,2018
32900,57,2,0,4,29990,190.0,2018
62302,18,7,1,4,4700,73.0,2018
3500,44,3,1,4,5500,38.0,2018
84000,22,7,1,4,5990,69.0,2018
17896,41,7,1,4,6490,71.0,2018
78000,57,7,1,4,6490,60.0,2018
191533,43,2,1,4,6722,105.0,2018
84800,50,7,1,4,6850,60.0,2018
62608,57,7,1,4,6930,60.0,2018
23864,23,7,1,1,12970,95.0,2020
25885,23,7,1,1,12980,95.0,2020
5,48,7,1,3,12995,101.0,2020
19990,23,7,1,1,13330,95.0,2020
2438,49,7,1,0,13950,80.0,2020
50,49,7,1,3,14490,95.0,2020
18805,23,7,1,1,14990,101.0,2020
9990,23,7,1,1,15490,101.0,2020
18365,23,7,1,1,15790,101.0,2020
23560,23,7,1,1,15880,125.0,2020
9990,23,5,1,1,15970,125.0,2020
6315,23,5,1,1,16450,125.0,2020
4246,38,7,1,0,16880,90.0,2020
11570,23,2,1,1,19390,150.0,2020
7360,23,2,1,1,19790,150.0,2020
5050,23,2,1,1,19970,150.0,2020
8125,23,2,1,1,19990,150.0,2020
50,23,7,1,3,19990,125.0,2020
5050,23,2,1,1,20385,150.0,2020
135000,60,2,0,4,3940,54.0,2011
42571,25,7,1,4,3950,69.0,2011
130274,23,7,1,4,3950,150.0,2011
107517,25,7,1,4,3950,67.0,2011
199726,50,2,1,4,3980,90.0,2011
178304,23,2,1,4,3990,109.0,2011
213990,25,2,1,4,3990,90.0,2011
103000,25,7,1,4,3990,69.0,2011
104500,42,7,1,4,3990,88.0,2011
169500,48,2,1,4,3990,106.0,2011
43000,25,7,1,4,3990,69.0,2011
51174,22,7,1,4,3990,69.0,2011
199000,43,2,1,4,3999,110.0,2011
110000,60,7,0,4,3999,61.0,2011
99121,45,7,1,4,3999,60.0,2011
202000,23,2,1,4,3999,95.0,2011
93000,60,7,0,4,4795,71.0,2012
131663,23,7,1,4,4799,60.0,2012
137500,57,7,1,4,4800,75.0,2012
122600,45,7,1,4,4800,120.0,2012
81698,57,7,1,4,4804,60.0,2012
87000,43,7,1,4,4850,69.0,2012
89000,31,7,1,4,4870,69.0,2012
26147,48,7,1,4,4890,75.0,2012
81500,55,7,1,4,4899,68.0,2012
119600,23,7,1,4,4900,82.0,2012
153289,25,9,1,4,4900,109.0,2012
52000,23,7,0,4,4900,97.0,2012
56000,23,7,1,4,4900,69.0,2012
215000,23,2,1,4,4900,116.0,2012
159999,22,2,1,4,4900,90.0,2012
81000,55,7,1,4,4900,68.0,2012
120185,49,2,1,4,4948,105.0,2012
116000,49,7,1,4,4950,86.0,2012
99000,23,7,1,4,4999,69.0,2013
175000,31,2,1,4,4999,128.0,2013
74415,22,7,1,4,4999,69.0,2013
42000,25,7,1,4,4999,86.0,2013
85571,31,7,1,4,5000,86.0,2013
68900,23,7,1,4,5100,69.0,2013
73350,50,7,1,4,5180,60.0,2013
124000,23,2,1,4,5200,75.0,2013
162300,43,7,1,4,5200,69.0,2013
38220,55,7,1,4,5200,68.0,2013
109500,31,7,1,4,5200,86.0,2013
115000,13,7,1,4,5200,120.0,2013
94000,49,7,1,4,5200,69.0,2013
74000,18,7,1,4,5200,90.0,2013
150000,31,7,1,4,5200,86.0,2013
58200,23,7,1,4,5200,60.0,2013
150000,31,2,1,4,5200,90.0,2013
78000,23,7,1,4,5250,69.0,2013
95000,18,7,1,4,5250,90.0,2013
50500,23,7,1,4,5990,60.0,2015
50531,60,7,0,4,5990,71.0,2015
55650,41,7,1,4,5990,71.0,2015
42000,49,7,1,4,5990,60.0,2015
174418,49,2,1,4,5990,105.0,2015
179850,23,2,1,4,5999,120.0,2015
54777,23,7,1,4,5999,60.0,2015
37200,50,7,1,4,6000,60.0,2015
45000,60,7,1,4,6000,71.0,2015
93000,22,7,1,4,6000,69.0,2015
118000,50,2,1,4,6000,90.0,2015
100000,25,7,1,4,6180,87.0,2015
79100,42,7,1,4,6199,80.0,2015
87370,50,7,1,4,6199,86.0,2015
157300,22,7,1,4,6200,77.0,2015
61880,48,7,1,4,6200,71.0,2015
45000,42,7,1,4,6200,80.0,2015
36018,41,7,1,4,6222,132.99098671726756,2015
132000,23,2,1,4,6250,95.0,2015
77559,43,7,1,4,6290,69.0,2015
42000,23,7,1,4,13790,120.0,2016
147000,6,2,1,4,13999,190.0,2016
88250,43,2,1,4,14390,136.0,2016
106000,43,2,0,4,14750,170.0,2016
46100,43,2,1,4,14950,136.0,2016
52500,43,2,1,4,15250,136.0,2016
38500,57,7,1,4,16500,110.0,2016
136498,23,2,0,4,18450,179.0,2016
112300,5,2,0,4,18450,190.0,2016
12600,23,2,1,4,19900,155.0,2016
9350,39,7,1,4,19950,122.0,2016
34300,39,7,0,4,20899,102.0,2016
93500,6,2,0,4,23999,184.0,2016
93500,6,2,0,4,23999,184.0,2016
98500,57,2,1,4,28850,102.0,2016
16500,39,2,0,4,30888,194.0,2017
67500,39,2,0,4,30888,194.0,2017
49500,39,7,0,4,31290,211.0,2017
59658,39,7,0,4,31487,245.0,2017
27000,23,2,0,4,31690,179.0,2017
53501,58,2,0,4,31899,190.0,2017
50000,39,2,0,4,32666,204.0,2017
22181,58,2,0,4,33590,220.0,2017
86900,58,2,0,4,33749,235.0,2017
86419,5,2,0,4,33920,190.0,2017
43990,58,2,0,4,34760,220.0,2017
38951,39,2,0,4,36490,204.0,2017
125000,39,2,0,4,33980,163.0,2018
51050,6,2,0,4,33990,190.0,2018
27586,5,7,0,4,34589,190.0,2018
74426,5,2,0,4,34820,163.0,2018
87582,5,2,0,4,34820,218.0,2018
54000,39,7,0,4,34900,211.0,2018
107496,58,2,0,4,34980,235.0,2018
45726,23,2,0,4,34990,209.0,2018
18202,23,2,0,4,34990,209.0,2018
36605,58,7,0,4,35989,250.0,2018
32950,58,2,0,4,36450,235.0,2018
30797,39,7,0,4,36770,211.0,2018
42109,57,7,0,4,36880,220.0,2018
23123,39,7,0,4,36880,184.0,2018
10197,57,7,0,4,27480,245.0,2019
10,25,3,1,0,27670,120.0,2019
15243,57,7,0,4,27890,245.0,2019
15500,5,7,1,4,27940,150.0,2019
14900,23,2,0,4,27950,150.0,2019
26175,39,2,0,4,27990,194.0,2019
15000,55,5,0,4,27990,218.0,2019
14355,25,7,0,4,27991,177.0,2019
28458,48,7,0,4,28401,224.0,2019
34464,57,7,0,4,28450,245.0,2019
22422,57,7,0,4,28480,190.0,2019
5,31,7,0,0,28590,179.0,2019
28933,31,7,0,0,28690,238.0,2019
20302,23,2,1,4,28711,190.0,2019
17894,57,2,1,4,28718,114.0,2019
9900,5,2,0,4,28750,136.0,2019
8191,5,2,0,4,28850,150.0,2019
13399,57,2,1,4,28870,150.0,2019
10193,23,2,0,4,28950,179.0,2019
25929,23,2,0,4,28990,179.0,2019
17908,23,7,1,1,20750,125.0,2020
3437,23,2,1,4,20750,125.0,2020
4600,48,7,1,0,20780,140.0,2020
10,38,7,1,3,20790,122.0,2020
14700,49,7,0,1,20830,150.0,2020
9466,57,7,1,0,20900,131.0,2020
5962,43,7,0,4,20950,131.0,2020
7300,23,7,1,1,20950,125.0,2020
10,23,5,1,0,20950,125.0,2020
3800,48,7,1,0,20980,140.0,2020
3078,23,7,1,1,20999,125.0,2020
3352,23,2,1,4,21220,125.0,2020
10,25,5,0,0,21250,105.0,2020
2585,23,7,1,1,21298,125.0,2020
2248,23,5,1,4,21450,125.0,2020
29,23,7,0,4,21490,125.0,2020
18595,23,7,1,4,21490,150.0,2020
9306,23,7,1,1,21498,125.0,2020
10,25,7,0,0,21540,140.0,2020
6500,49,7,1,0,21550,116.0,2020
5,25,7,0,3,36870,179.0,2021
5,25,5,0,3,37970,230.0,2021
5,25,5,0,3,37970,230.0,2021
125,57,2,0,1,37980,150.0,2021
125,57,2,0,1,37980,150.0,2021
18,25,5,0,3,37988,230.0,2021
177000,48,2,1,4,3990,90.0,2011
177000,23,2,1,4,3999,109.0,2011
110000,60,7,0,4,3999,61.0,2011
83223,45,7,1,4,3999,95.0,2011
69000,48,7,1,4,3999,75.0,2011
162300,43,7,1,4,3999,101.0,2011
144000,39,2,1,4,3999,109.0,2011
46850,53,7,1,4,3999,68.0,2011
168000,25,2,1,4,3999,90.0,2011
181701,43,2,1,4,3999,110.0,2011
99800,49,7,1,4,4000,69.0,2011
145000,13,7,1,4,4000,73.0,2011
54071,25,7,1,4,4099,69.0,2011
176000,53,2,1,4,4200,75.0,2011
30500,45,7,1,4,4200,95.0,2011
62000,22,7,1,4,4200,69.0,2011
144134,25,2,1,4,4490,90.0,2012
130000,22,7,1,4,4490,69.0,2012
43000,25,7,1,4,4490,69.0,2012
79000,48,7,1,4,4490,75.0,2012
77709,42,7,1,4,4490,80.0,2012
110474,45,7,1,4,4499,95.0,2012
168000,45,2,1,4,4499,111.0,2012
79500,43,7,1,4,4499,69.0,2012
75000,23,7,1,4,4499,60.0,2012
90000,31,7,1,4,4499,69.0,2012
98789,43,7,1,4,4499,87.0,2012
90000,57,7,1,4,4500,60.0,2012
207000,43,2,1,4,4500,105.0,2012
153000,50,2,1,4,4500,75.0,2012
148000,43,2,1,4,4500,110.0,2012
65500,43,7,1,4,4500,69.0,2012
117000,57,7,1,4,4500,75.0,2012
167500,43,2,1,4,4500,131.0,2012
61700,48,7,1,4,4500,75.0,2012
97000,31,7,1,4,4990,69.0,2013
75000,41,7,1,4,4999,80.0,2013
155000,48,7,1,4,4999,116.0,2013
155000,48,7,1,4,4999,116.0,2013
175000,31,2,1,4,4999,128.0,2013
124600,50,7,1,4,4999,86.0,2013
74415,22,7,1,4,4999,69.0,2013
42000,25,7,1,4,4999,86.0,2013
109000,43,7,1,4,5150,87.0,2013
129073,31,7,1,4,5199,109.0,2013
38220,55,7,1,4,5200,68.0,2013
77220,48,7,1,4,5200,101.0,2013
122500,22,7,0,4,5300,86.0,2013
74000,48,7,1,4,5300,75.0,2013
98000,49,7,1,4,5300,60.0,2013
96000,43,7,1,4,5300,69.0,2013
160000,11,7,1,4,5300,141.0,2013
197000,55,7,1,4,5300,99.0,2013
129000,42,2,1,4,5600,90.0,2014
108900,43,7,1,4,5650,87.0,2014
36000,50,7,1,4,5650,60.0,2014
50130,22,7,1,4,5680,69.0,2014
53196,60,7,0,4,5700,71.0,2014
125000,50,2,1,4,5700,75.0,2014
106700,50,2,1,4,5710,75.0,2014
90000,50,2,1,4,5750,75.0,2014
32000,43,7,1,4,5750,69.0,2014
32000,43,7,1,4,5750,69.0,2014
33000,22,7,1,4,5750,69.0,2014
70400,49,7,1,4,5790,69.0,2014
63000,18,7,1,4,5790,75.0,2014
47765,43,7,1,4,5790,69.0,2014
45000,45,7,1,4,5799,82.0,2014
102900,23,7,1,4,5799,60.0,2014
97333,23,7,1,4,5800,125.0,2014
95000,49,7,1,4,5800,105.0,2014
95000,22,7,1,4,5800,69.0,2014
93651,57,7,1,4,5800,60.0,2014
55299,25,7,1,4,5944,67.0,2015
53800,57,7,1,4,5990,60.0,2015
53000,49,7,1,4,5990,69.0,2015
22600,45,7,1,4,5990,69.0,2015
125000,49,7,1,4,5990,86.0,2015
64000,50,7,1,4,5990,60.0,2015
55000,48,7,1,4,5990,71.0,2015
38000,57,7,1,4,5999,60.0,2015
91000,18,7,1,4,5999,90.0,2015
94751,45,7,1,4,5999,82.0,2015
32000,48,7,1,4,5999,71.0,2015
30000,41,7,1,4,5999,71.0,2015
54777,23,7,1,4,5999,60.0,2015
85675,57,7,1,4,5999,60.0,2015
118000,50,2,1,4,6000,90.0,2015
54500,23,7,1,4,6100,82.0,2015
43447,43,7,1,4,6100,69.0,2015
79100,42,7,1,4,6199,80.0,2015
44849,60,7,1,4,6200,71.0,2015
171000,43,2,0,4,3299,131.0,2016
152612,50,7,1,4,3799,60.0,2016
98280,18,7,1,4,4400,73.0,2016
137000,18,7,1,4,4490,73.0,2016
75419,43,2,1,4,13990,136.0,2018
24415,23,7,1,4,13990,101.0,2018
35000,25,7,1,4,14450,120.0,2018
150000,57,2,0,4,14510,150.0,2018
16900,55,5,0,4,15900,102.0,2018
83526,57,2,1,4,15950,116.0,2018
65478,37,2,0,4,15999,116.0,2018
82800,6,7,0,4,16300,136.0,2018
10448,43,7,1,4,16790,131.0,2018
54900,5,7,0,4,16900,95.0,2018
92435,57,2,1,4,16950,116.0,2018
20647,25,5,0,4,16990,141.0,2018
37000,55,5,0,4,17900,98.0,2018
66000,5,7,0,4,17990,150.0,2018
15878,57,7,0,4,18450,125.0,2018
8982,43,7,0,4,18700,110.0,2018
60150,57,7,1,4,18950,125.0,2018
64424,57,2,0,4,19450,150.0,2018
25587,37,7,1,4,19499,192.0,2018
35990,49,7,0,4,19550,116.0,2018
20683,58,2,0,4,33780,150.0,2020
16162,50,7,0,4,33841,190.0,2020
5777,38,7,0,0,33870,194.0,2020
12107,57,7,0,4,33908,190.0,2020
12851,57,7,0,4,33998,218.0,2020
9853,57,5,0,4,34390,218.0,2020
4183,57,7,0,4,34420,150.0,2020
13108,58,2,0,4,34480,190.0,2020
20238,57,2,0,4,34720,150.0,2020
50,50,7,0,3,34745,245.0,2020
14900,5,5,0,0,34750,204.0,2020
8350,45,7,0,1,34890,181.0,2020
3500,57,0,0,4,34900,156.0,2020
9190,57,3,0,4,34920,204.0,2020
5681,50,7,0,4,34928,190.0,2020
9986,5,7,0,4,34950,150.0,2020
6000,23,7,0,0,34950,165.0,2020
8000,23,5,0,4,34950,224.0,2020
3500,58,7,0,0,34970,163.0,2020
156459,23,7,1,4,7745,160.0,2011
229000,57,2,0,4,7750,170.0,2011
152000,57,7,1,4,7799,140.0,2011
170800,42,2,1,4,7900,90.0,2011
133000,57,7,1,4,7900,105.0,2011
125700,23,7,1,4,7900,125.0,2011
126000,57,2,0,4,7900,140.0,2011
111000,5,2,1,4,7900,90.0,2011
101655,57,7,0,4,7980,122.0,2011
89172,25,7,1,4,7980,140.0,2011
82102,45,7,0,4,7990,156.0,2011
108350,45,2,0,4,7990,163.0,2011
86875,49,7,1,4,7990,125.0,2011
69598,23,7,1,4,7990,135.0,2011
110998,6,7,1,4,7999,170.0,2011
80000,49,7,0,4,7999,160.0,2011
124500,39,7,0,4,8100,116.0,2011
147000,57,7,1,4,8200,122.0,2011
210842,5,2,1,4,8500,143.0,2012
100000,25,2,0,4,8590,136.0,2012
77600,43,7,1,4,8600,140.0,2012
205764,57,2,0,4,8600,140.0,2012
50000,18,7,1,4,8600,105.0,2012
89679,55,5,0,4,8690,99.0,2012
63000,58,7,1,4,8800,145.0,2012
